69,Pavel Chekov,SO,35.83,Ultramite,314.0,44.22,7.83,13885.080,2458.620,5855.9477100,22199.6477100
70,Chakotay,LI,0.22,Neunite,181.0,38.00,0.40,6878.000,72.400,15.2908800,6965.6908800
71,Jean-Luc Picard,MO,1.0,Nonconductive Eurus,273.0,48.00,0.00,13104.000,0.000,131.04000,13235.04000
72,Worf,CZ,-3.0,Reticuloril,71.0,99.64,0.70,7074.440,49.700,-213.72420,6910.41580
73,Obi-Wan Kenobi,TF,24.63,Cyclonite,25.0,64.17,0.01,1604.250,0.250,395.1883500,1999.6883500
74,Luke Skywalker,OS,31.0,Rhodonium,183.0,82.00,3.00,15006.000,549.000,4822.05000,20377.05000
75,Jabba the Hutt,SR,13.0,Exotic Halosium,176.0,76.55,2.22,13472.800,390.720,1802.25760,15665.77760
76,Daniel Jackson,LI,0.22,Unstable Etheronite,223.0,88.01,4.00,19626.230,892.000,45.1401060,20563.3701060
77,Amy Pond,CM,2.0,Cyanosite,149.0,96.43,7.00,14368.070,1043.000,308.22140,15719.29140
78,Greedo,LO,18.65,Cyclonite,254.0,21.39,8.82,5433.060,2240.280,1431.0779100,9104.4179100
79,Martha Jones,MM,1.0,Opaque Xanthus,127.0,89.00,8.00,11303.000,1016.000,123.19000,12442.19000
80,Data,MO,1.0,Plasmanium,120.0,2.00,3.00,240.000,360.000,6.00000,606.00000
81,Chakotay,RG,11.29,Exotic Halosium,323.0,76.55,2.22,24725.650,717.060,2872.48195899999974557290,28315.19195899999974557290
82,Odo,SM,-4.0,Stableized Bendezil,349.0,11.18,5.00,3901.820,1745.000,-225.87280,5420.94720
83,Darth Sidious,DB,12.05,Crystalized Ethericite,204.0,68.89,0.00,14053.560,0.000,1693.45398000000014053560,15747.01398000000014053560
84,Admiral Gial Ackbar,WE,1.0,Axonogen,180.0,63.00,2.72,11340.000,489.600,118.29600,11947.89600
85,Jean-Luc Picard,BM,44.32,Unstable Etheronite,235.0,13.00,9.79,3055.000,2300.650,2373.6240800,7729.2740800
86,Doctor Who,SC,3.47,Aluminine,26.0,79.00,6.75,2054.000,175.500,77.3636500,2306.8636500
87,Worf,RS,2.49,Denatured Porphyrosite,104.0,83.00,7.00,8632.000,728.000,233.064000000000018720000,9593.064000000000018720000
88,Leonard McCoy,IC,30.06,Metallesium,127.0,15.18,1.00,1927.860,127.000,617.6909160,2672.5509160
89,B'Elanna Torres,HR,37.0,Hydril,311.0,63.00,5.00,19593.000,1555.000,7824.76000,28972.76000
90,Obi-Wan Kenobi,LF,11.72,Nonconductive Eurus,307.0,48.00,0.00,14736.000,0.000,1727.05920000000014736000,16463.05920000000014736000
91,Chakotay,LO,18.65,Low-density Schizonite,187.0,24.00,5.08,4488.000,949.960,1014.1795400,6452.1395400
92,Q,HM,44.0,Unstable Plutosium,138.0,86.94,4.21,11997.720,580.980,5534.62800,18113.32800
93,Mazer Rackham,CC,33.0,Isotopic Fibrogen,177.0,74.00,1.00,13098.000,177.000,4380.75000,17655.75000
94,Q,LS,18.0,Axonogen,100.0,63.00,2.72,6300.000,272.000,1182.96000,7754.96000
95,C-3PO,CA,4.45,Radioactive Turbanium,180.0,95.42,4.26,17175.600,766.800,798.436800000000089712000,18740.836800000000089712000
96,Senator Palpatine,DM,-1.0,Osmonite,219.0,62.42,5.30,13669.980,1160.700,-148.30680,14682.37320
